record_index,mean_creator_complexity,sum_creator_complexity,max_creator_complexity,num_charts,avg_n_data_sources,max_n_data_sources
1,7.43,37.15,12.5,5,2.0,2
2,6.99,34.95,13.5,5,2.8,3
3,8.1,40.5,10.5,5,1.0,1
4,6.416666666666667,38.5,8.5,6,1.0,1
5,7.028571428571429,49.2,12.5,7,2.142857142857143,3
6,5.216666666666667,15.65,6.5,3,1.0,1
7,9.166666666666666,27.5,10.5,3,2.0,2
8,8.833333333333334,26.5,12.5,3,1.3333333333333333,2
9,7.209090909090909,79.3,10.5,11,1.2727272727272727,2
10,7.409090909090909,81.5,12.5,11,1.0,1
11,5.826923076923077,75.75,8.5,13,1.2307692307692308,2
12,7.583333333333333,45.5,12.0,6,1.0,1
13,5.59,27.95,8.0,5,1.4,2
14,7.5,30.0,10.5,4,1.0,1
15,7.509090909090909,82.6,12.5,11,1.0,1
16,7.5,60.0,11.5,8,1.75,2
17,5.196153846153846,67.55,7.5,13,1.3846153846153846,2
18,7.7749999999999995,93.3,15.0,12,1.8333333333333333,3
19,6.697619047619048,140.65,8.5,21,2.4761904761904763,4
20,5.588888888888889,50.3,10.5,9,1.0,1
21,5.682142857142857,79.55,12.5,14,3.0,3
22,6.0,24.0,8.5,4,1.0,1
23,9.378846153846153,243.85,13.5,26,1.0,1
24,7.194736842105263,136.7,14.0,19,2.789473684210526,3
25,4.488888888888889,40.4,4.55,9,1.0,1
26,8.166666666666666,24.5,10.5,3,1.0,1
27,7.0249999999999995,42.15,10.5,6,1.1666666666666667,2
28,6.620833333333334,79.45,13.5,12,1.25,2
29,8.764285714285714,61.35,12.5,7,2.0,2
30,6.195454545454544,68.14999999999999,13.5,11,2.0,2
31,7.74,77.4,12.5,10,1.2,2
32,6.904545454545455,75.95,13.5,11,2.0,2
33,5.927777777777778,53.35,8.5,9,3.6666666666666665,4
